review,sentiment
Penceritaan film ini dianggap terlalu kaku karena benar-benar mengikuti utas aslinya serta pengembangan dan modifikasi cerita terhitung sedikit.,Negatif
Penggunaan riasan untuk desa gaib juga disoroti karena terlihat lebih mirip zombi sehingga tak menyeramkan.,Negatif
"film ini adalah salah satu film Indonesia terbaik. Dari segi sinematografi dan efek suara, film ini dikatakan berada di kelas tersendiri bahkan ketika adegan yang tidak terlalu menakutkan tetap terasa menakutkan di kalangan penonton",Positif
Akting para pemain terasa sangat natural,Positif
Cerita filmnya menarik dari awal sampai akhir,Positif
Saya kurang suka dengan alur ceritanya,Negatif
Akting beberapa pemain kurang meyakinkan,Negatif
Film ini diadaptasi dari cerita viral,Netral
Film ini termasuk genre horor,Netral
Ceritanya bertele-tele dan membingungkan,Negatif
Film horor lokal yang kualitasnya bagus,Positif
Ceritanya rapi dan tidak membosankan,Positif
Film ini sukses bikin suasana jadi tegang,Positif
Saya baru menonton film ini kemarin,Netral
Saya tahu film ini dari rekomendasi teman,Netral
Film ini gagal memberikan rasa takut,Negatif
Film horor Indonesia yang patut diapresiasi,Positif
Film ini diproduksi oleh MD Pictures,Netral
Saya menonton film ini tanpa ekspektasi,Netral
Saya menonton film ini versi uncut,Netral
Menurut saya film ini mengecewakan,Negatif
Aktingnya terasa kaku di beberapa bagian,Negatif
Suasana desa terasa sangat nyata,Negatif
Film ini punya pesan moral yang menarik,Positif
Akting pemain utamanya bagus,Positif
Filmnya seram banget sih,Positif
Menurutku ceritanya keren dan menegangkan,Positif
Film ini sangat seram dan bikin merinding,Positif
Menurut saya film ini layak ditonton,Positif
Efek suara membuat suasana makin mencekam,Positif
Durasi film ini lebih dari dua jam,Netral
Film ini terasa dipaksakan,Negatif
Banyak adegan yang tidak masuk akal,Negatif
Saya menikmati setiap adegan film ini,Positif
kurang seru menurut saya mah,Negatif
dulu film ini saya rekomndasikan ke temen saya,Netral
adegannya kurang seru,Negatif
Menang shon doang filmnya kurang menantang,Negatif
saya kurang suka sama prannya,Negatif
Filmnya kurang seru,Negatif
kapan lagi nonton seseru ini,Positif
rekomendasi sih ,Netral
saya sampe takut nontong film ini,Positif
tolong adakan lanjutan lagi untuk film ini,Netral
kurang menghenakan ke hati untuk tontonan seperti iu,Negatif
kurang suka sama filmnya,Negatif
Filmnya tidak sesuai dengan aslinya,Negatif
menarik untuk di tonton sih,Positif
tidak rekomendasi karna banyak mis nya,Negatif
Film ini tidak layak ditonton ulang,Negatif
Film ini punya kualitas gambar yang bagus,Positif
Film ini tayang pada tahun 2022,Netral
Film ini tidak memberikan rasa takut,Negatif
Film ini disutradarai oleh Awi Suryadi,Netral
Film ini mengecewakan,Negatif
Film ini cukup terkenal di Indonesia,Netral
Cerita film ini kuat dan menarik,Positif
Film ini kurang seram dan membosankan,Negatif
Film KKN di Desa Penari layak ditonton bersama teman,Positif
Film ini kurang greget,Negatif
Saya tidak merekomendasikan film ini,Negatif
Film ini biasa saja dan kurang berkesan,Negatif
Saya puas menonton film ini di bioskop,Positif
Alur cerita tidak jelas dan membingungkan,Negatif
Film ini punya pesan moral yang menarik,Positif
Kurang seram dibanding film horor lainnya,Negatif
Film ini membuat saya terkejut beberapa kali,Positif
Akting pemeran utama sangat memuaskan,Positif
Film ini punya suasana horor yang kuat,Positif
Saya puas dengan kualitas film ini,Positif
Film ini membuat suasana bioskop jadi tegang,Positif
Film ini sangat layak ditonton,Positif
Cerita film ini berhasil membuat penasaran,Positif
Akting para pemain sangat total,Positif
Cerita film ini terasa datar,Negatif
Film ini memberikan pengalaman menonton yang seru,Positif
Film ini patut diapresiasi,Positif
Cerita filmnya menarik dan tidak membosankan,Positif
Saya sangat suka sama film ini,Positif
Film ini sangat bagus bikin jantungan ,Positif
Saya sangat bangga sama film ini,Positif
Film yang Sangat seram,Positif
Banyak yang nonton film ini,Positif
Seru dan Memuaskan,Positif
Aktingnya terasa kaku di beberapa bagian,Negatif
memukau bikin penasaran,Positif
Bikin kaget film KKN ini,Positif
Saya kurang puas nontonnya,Negatif
Menurut saya film ini bagus,Positif
Bangus Banget Film ini,Positif
Ga lagi lagi nonton ini,Negatif
Bagus sekali,Positif
menarik menurut saya mah ,Positif
Ga mau nonton lagi,Negatif
Saya suka film ini,Positif
Untung Saya nonton film ini seru polll,Positif
Saya sangat menyukai film ini karena menegangkan,Positif
Bagus Bagus aktornya,Positif
tidak suka filmnya,Negatif
Terlalu dramastis,Negatif
