review,sentiment
Penceritaan film ini dianggap terlalu kaku karena benar-benar mengikuti utas aslinya serta pengembangan dan modifikasi cerita terhitung sedikit.,Negatif
Penggunaan riasan untuk desa gaib juga disoroti karena terlihat lebih mirip zombi sehingga tak menyeramkan.,Negatif
"film ini adalah salah satu film Indonesia terbaik. Dari segi sinematografi dan efek suara, film ini dikatakan berada di kelas tersendiri bahkan ketika adegan yang tidak terlalu menakutkan tetap terasa menakutkan di kalangan penonton",Positif
Akting para pemain terasa sangat natural,Positif
Cerita filmnya menarik dari awal sampai akhir,Positif
Saya kurang suka dengan alur ceritanya,Negatif
Akting beberapa pemain kurang meyakinkan,Negatif
Film ini diadaptasi dari cerita viral,Netral
Film ini termasuk genre horor,Netral
Ceritanya bertele-tele dan membingungkan,Negatif
Film horor lokal yang kualitasnya bagus,Positif
Ceritanya rapi dan tidak membosankan,Positif
Film ini sukses bikin suasana jadi tegang,Positif
Saya baru menonton film ini kemarin,Netral
Saya tahu film ini dari rekomendasi teman,Netral
Film ini gagal memberikan rasa takut,Negatif
Film horor Indonesia yang patut diapresiasi,Positif
Film ini diproduksi oleh MD Pictures,Netral
Saya menonton film ini tanpa ekspektasi,Netral
Saya menonton film ini versi uncut,Netral
Menurut saya film ini mengecewakan,Negatif
Aktingnya terasa kaku di beberapa bagian,Negatif
Suasana desa terasa sangat nyata,Negatif
Film ini punya pesan moral yang menarik,Positif
Akting pemain utamanya bagus,Positif
Filmnya seram banget sih,Positif
Menurutku ceritanya keren dan menegangkan,Positif
Film ini sangat seram dan bikin merinding,Positif
Menurut saya film ini layak ditonton,Positif
Efek suara membuat suasana makin mencekam,Positif
Durasi film ini lebih dari dua jam,Netral
Film ini terasa dipaksakan,Negatif
Banyak adegan yang tidak masuk akal,Negatif
Saya menikmati setiap adegan film ini,Positif
